location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Dha Phase 7, Dha Defence",Lahore,4.0,5.0,45000000.0,2250.0,20000.0,17.622173069956816,0.041666666666666664,DHA,7,0,0,7
"Dha Phase 5 - Block D, Dha Phase 5",Lahore,4.0,5.0,53000000.0,2700.0,19629.62962962963,17.78580249038432,0.041666666666666664,DHA,5,0,1,5
"Park View City - Platinum Block, Park View City",Lahore,4.0,5.0,17000000.0,1125.0,15111.111111111111,16.648723960844016,0.041666666666666664,Private,0,0,0,0
"Park View City - Tulip Extension Block, Park View City",Lahore,4.0,4.0,17500000.0,1125.0,15555.555555555555,16.677711496036597,0.041666666666666664,Private,0,0,0,0
"Park View City - Tulip Extension Block, Park View City",Lahore,4.0,4.0,17000000.0,1125.0,15111.111111111111,16.648723960844016,0.041666666666666664,Private,0,0,0,0
"Pak Arab Housing Society, Lahore",Lahore,3.0,4.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,0.041666666666666664,Other,0,0,0,0
"Vital Homes Housing Scheme, Lahore",Lahore,3.0,4.0,13000000.0,675.0,19259.25925925926,16.380459992348886,0.041666666666666664,Other,0,0,0,0
"Dha Phase 7 - Block U, Dha Phase 7",Lahore,5.0,6.0,70500000.0,4500.0,15666.666666666666,18.071123281966894,2.0,DHA,7,0,0,7
"Bahria Orchard Phase 2, Bahria Orchard",Lahore,3.0,4.0,16000000.0,1125.0,14222.222222222223,16.588099342704055,2.0,Bahria,0,0,0,2
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,5.0,5.0,45000000.0,2250.0,20000.0,17.622173069956816,2.0,DHA,7,0,0,7
"Air Avenue - Block L, Dha Phase 8 - Ex Air Avenue",Lahore,4.0,5.0,45000000.0,2250.0,20000.0,17.622173069956816,2.0,DHA,8,0,0,8
"Nfc 1, Lahore",Lahore,6.0,6.0,102500000.0,4500.0,22777.777777777777,18.445373366298835,2.0,Other,0,0,0,0
"Dha Phase 6, Dha Defence",Lahore,5.0,6.0,97500000.0,4500.0,21666.666666666668,18.395362946224484,2.0,DHA,6,0,1,6
"Askari 11 - Sector B, Askari 11",Lahore,5.0,6.0,51000000.0,2700.0,18888.88888888889,17.747336210296442,2.0,Askari,0,0,0,11
"Askari 11 - Sector A, Askari 11",Lahore,5.0,5.0,51000000.0,2700.0,18888.88888888889,17.747336210296442,2.0,Askari,0,0,0,11
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,4.0,5.0,60000000.0,2250.0,26666.666666666668,17.909855136853043,0.041666666666666664,DHA,7,0,0,7
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,6.0,7.0,79900000.0,4500.0,17755.555555555555,18.196286423252147,0.041666666666666664,DHA,7,0,0,7
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,5.0,6.0,86500000.0,4500.0,19222.222222222223,18.2756549834628,0.125,DHA,6,0,1,6
"Faisal Town, Lahore",Lahore,4.0,4.0,31000000.0,1125.0,27555.555555555555,17.249497794707484,0.125,Private,0,0,0,0
"Park View City, Lahore",Lahore,4.0,4.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,0.125,Private,0,0,0,0
"Bahria Town - Sector C, Bahria Town",Lahore,1.0,1.0,8000000.0,450.0,17777.777777777777,15.894952224644102,0.125,Bahria,0,0,0,0
"Union Town, Abdul Sattar Edhi Road",Lahore,2.0,2.0,9500000.0,990.0000000000001,9595.959595959595,16.066802461833923,0.125,Other,0,0,0,0
"Shadab Garden, Lahore",Lahore,3.0,4.0,11500000.0,675.0,17037.037037037036,16.257857680289998,0.041666666666666664,Other,0,0,0,0
"Vital Homes Ee, Vital Homes Housing Scheme",Lahore,3.0,4.0,23000000.0,1125.0,20444.444444444445,16.951004817371683,0.041666666666666664,Other,0,0,0,0
"Vital Homes Aa, Vital Homes Housing Scheme",Lahore,4.0,4.0,14000000.0,675.0,20740.74074074074,16.454567959008102,0.041666666666666664,Other,0,0,0,0
